date,open,high,low,close,volume,average,barCount
2024-04-29,0.1801,0.1813,0.172,0.1767,12392919.3,0.177525,90
2024-04-30,0.1768,0.179,0.1606,0.1677,14020387.8,0.17102499999999998,90
2024-05-01,0.1676,0.1698,0.1564,0.1673,11690398.9,0.165275,90
2024-05-02,0.1673,0.1725,0.1618,0.1701,8508801.0,0.16792500000000002,90
2024-05-03,0.17,0.1803,0.168,0.1793,11123780.9,0.1744,90
2024-05-04,0.1793,0.1808,0.1758,0.1768,6837060.8,0.17817500000000003,90
2024-05-05,0.1767,0.1821,0.1707,0.1775,10402298.8,0.17675,90
2024-05-06,0.1775,0.1863,0.1727,0.1733,12590598.5,0.17745,90
2024-05-07,0.1733,0.1767,0.1674,0.1676,8902364.2,0.17124999999999999,90
2024-05-08,0.1676,0.1686,0.1586,0.163,22411840.5,0.16445,90
2024-05-09,0.1629,0.1703,0.1584,0.1694,15190366.2,0.16525,90
2024-05-10,0.1695,0.175,0.1586,0.1615,12885565.0,0.16615,90
2024-05-11,0.1615,0.1637,0.1589,0.16,5742609.0,0.16102500000000003,90
2024-05-12,0.16,0.1609,0.1555,0.1557,8291295.1,0.15802499999999997,90
2024-05-13,0.1557,0.1597,0.1469,0.1539,27058319.5,0.15405000000000002,90
2024-05-14,0.1539,0.1556,0.149,0.1502,15495253.6,0.152175,90
2024-05-15,0.1502,0.1617,0.15,0.1595,15641609.2,0.15535,90
2024-05-16,0.1595,0.1632,0.15,0.1539,25749967.4,0.15665,90
2024-05-17,0.1538,0.164,0.1528,0.1598,8276093.8,0.1576,90
2024-05-18,0.1598,0.1612,0.1565,0.1582,3914094.8,0.158925,90
2024-05-19,0.1582,0.1598,0.1515,0.1532,4430516.5,0.155675,90
2024-05-20,0.1532,0.1644,0.1512,0.1639,11525206.8,0.158175,90
2024-05-21,0.1639,0.1689,0.1603,0.1641,14026914.7,0.1643,90
2024-05-22,0.1642,0.1686,0.1606,0.1643,8311464.3,0.164425,90
2024-05-23,0.1642,0.2263,0.159,0.2088,183484204.3,0.189575,90
2024-05-24,0.2087,0.2716,0.204,0.2308,317058188.7,0.228775,90
2024-05-25,0.2306,0.24,0.2144,0.2184,79852510.0,0.22585000000000002,90
2024-05-26,0.2185,0.22,0.2005,0.2062,57676687.7,0.2113,90
2024-05-27,0.2061,0.2164,0.1951,0.2045,48027821.8,0.20552499999999999,90
2024-05-28,0.2044,0.2515,0.1977,0.2085,157891869.8,0.215525,90
2024-05-29,0.2086,0.2227,0.2016,0.2022,34882000.7,0.208775,90
2024-05-30,0.2023,0.2053,0.1952,0.1993,21604608.9,0.200525,90
2024-05-31,0.1993,0.215,0.1933,0.1996,26839415.8,0.2018,90
2024-06-01,0.1994,0.2058,0.1958,0.1983,14932903.4,0.199825,90
2024-06-02,0.1983,0.203,0.1904,0.1914,20289074.7,0.195775,90
2024-06-03,0.1913,0.199,0.1903,0.1924,18942985.6,0.19325,90
2024-06-04,0.1924,0.1938,0.1893,0.1935,11033020.7,0.19225,90
2024-06-05,0.1935,0.199,0.1921,0.1936,11969423.8,0.19455,90
2024-06-06,0.1936,0.195,0.1901,0.1909,7916737.1,0.1924,90
