date,open,high,low,close,volume,average,barCount
2024-04-29,7.281,7.366,6.965,7.143,1124368.04,7.18875,90
2024-04-30,7.144,7.261,6.473,6.744,1828976.24,6.9055,90
2024-05-01,6.744,7.085,6.386,6.994,1599483.68,6.80225,90
2024-05-02,6.991,7.37,6.775,7.284,822295.75,7.105,90
2024-05-03,7.283,7.629,7.166,7.513,911150.08,7.39775,90
2024-05-04,7.509,7.585,7.39,7.438,463817.38,7.4805,90
2024-05-05,7.439,7.6,7.294,7.493,467451.46,7.4565,90
2024-05-06,7.49,7.745,7.316,7.33,921549.35,7.47025,90
2024-05-07,7.33,7.475,7.18,7.201,479699.97,7.2965,90
2024-05-08,7.2,7.342,7.081,7.215,535654.75,7.2095,90
2024-05-09,7.218,7.487,7.043,7.461,514262.96,7.302250000000001,90
2024-05-10,7.46,7.754,7.051,7.092,925823.87,7.33925,90
2024-05-11,7.093,7.192,7.002,7.015,474619.32,7.0755,90
2024-05-12,7.016,7.084,6.875,6.941,381696.29,6.979,90
2024-05-13,6.944,7.075,6.645,6.821,1051246.29,6.87125,90
2024-05-14,6.817,6.862,6.617,6.665,516249.6,6.74025,90
2024-05-15,6.665,7.304,6.623,7.195,749775.41,6.946750000000001,90
2024-05-16,7.194,7.333,7.061,7.207,719435.36,7.19875,90
2024-05-17,7.21,7.519,7.124,7.444,574699.54,7.324249999999999,90
2024-05-18,7.444,7.55,7.388,7.436,366657.35,7.4544999999999995,90
2024-05-19,7.439,7.488,7.04,7.072,393233.59,7.2597499999999995,90
2024-05-20,7.071,7.897,6.959,7.853,1304476.97,7.445,90
2024-05-21,7.854,7.996,7.758,7.89,1312323.49,7.8745,90
2024-05-22,7.889,7.926,7.582,7.779,806882.42,7.7940000000000005,90
2024-05-23,7.782,7.92,7.247,7.645,1074452.51,7.648499999999999,90
2024-05-24,7.648,8.203,7.532,8.183,1144452.66,7.8915,90
2024-05-25,8.183,8.236,7.932,7.982,574216.21,8.08325,90
2024-05-26,7.983,7.986,7.694,7.743,525281.29,7.8515,90
2024-05-27,7.742,8.094,7.664,7.909,712588.03,7.85225,90
2024-05-28,7.911,7.936,7.551,7.741,809412.86,7.78475,90
2024-05-29,7.741,8.053,7.649,7.828,1152241.72,7.81775,90
2024-05-30,7.825,7.958,7.41,7.419,984495.34,7.6530000000000005,90
2024-05-31,7.421,7.512,7.236,7.413,612811.31,7.3955,90
2024-06-01,7.411,8.287,7.395,7.911,1181837.53,7.7509999999999994,90
2024-06-02,7.91,8.35,7.74,7.76,1751879.73,7.9399999999999995,90
2024-06-03,7.76,8.6,7.585,8.272,2392286.99,8.05425,90
2024-06-04,8.267,8.395,7.944,8.17,1079387.55,8.193999999999999,90
2024-06-05,8.173,8.708,8.15,8.627,1638379.72,8.4145,90
2024-06-06,8.627,8.704,8.371,8.434,854191.06,8.534,90
2024-06-07,8.433,8.52,7.27,7.867,1324157.73,8.022499999999999,90
2024-06-08,7.866,7.892,7.327,7.394,867399.04,7.61975,90
2024-06-09,7.393,7.533,7.344,7.48,467770.12,7.4375,90
2024-06-10,7.481,7.643,7.113,7.184,1187356.47,7.35525,90
2024-06-11,7.184,7.217,6.76,6.863,976330.38,7.006,90
2024-06-12,6.861,7.313,6.746,7.182,735278.47,7.025500000000001,90
2024-06-13,7.178,7.181,6.851,6.964,1015126.34,7.0435,90
2024-06-14,6.967,7.1,6.51,6.668,859099.57,6.811249999999999,90
2024-06-15,6.668,6.88,6.643,6.779,294068.38,6.7425,90
2024-06-16,6.779,6.788,6.661,6.715,254942.42,6.73575,90
2024-06-17,6.717,6.764,6.031,6.228,1639958.94,6.4350000000000005,90
2024-06-18,6.23,6.252,5.5,5.78,1663238.55,5.9405,90
2024-06-19,5.773,6.124,5.725,6.004,601273.82,5.906499999999999,90
2024-06-20,6.0,6.26,5.912,5.967,494867.68,6.03475,90
2024-06-21,5.969,6.135,5.901,6.008,529032.06,6.0032499999999995,90
2024-06-22,6.007,6.085,5.914,6.046,231796.1,6.013,90
2024-06-23,6.047,6.144,5.826,5.882,302900.1,5.97475,90
2024-06-24,5.886,5.996,5.615,5.973,920545.84,5.8675,90
2024-06-25,5.973,6.31,5.938,6.184,670793.99,6.10125,90
2024-06-26,6.183,6.281,6.036,6.081,341811.77,6.14525,90
2024-06-27,6.081,6.35,5.977,6.264,411938.19,6.168,90
2024-06-28,6.266,6.38,6.03,6.068,428995.25,6.186,90
2024-06-29,6.069,6.198,5.874,5.941,314368.59,6.020499999999999,90
2024-06-30,5.942,6.086,5.878,6.057,342153.7,5.99075,90
2024-07-01,6.057,6.251,5.883,5.901,597837.44,6.023,90
2024-07-02,5.9,6.037,5.819,5.981,370485.05,5.9342500000000005,90
2024-07-03,5.981,6.007,5.673,5.719,500012.73,5.845000000000001,90
2024-07-04,5.721,5.74,5.01,5.067,1113853.89,5.3845,90
2024-07-05,5.064,5.074,4.407,4.942,2469672.51,4.8717500000000005,90
2024-07-06,4.94,5.427,4.903,5.336,621927.25,5.1515,90
2024-07-07,5.336,5.36,4.968,4.992,473714.15,5.164000000000001,90
2024-07-08,4.993,5.342,4.778,5.213,777481.14,5.0815,90
2024-07-09,5.211,5.348,5.169,5.288,357990.04,5.2540000000000004,90
