date,open,high,low,close,volume,average,barCount
2024-04-29,63118.62,64228.35,61765.53,63866.0,28150.22947,63244.625,90
2024-04-30,63866.0,64734.0,59191.6,60672.0,54947.65535,62115.9,90
2024-05-01,60672.01,60841.63,56552.82,58364.97,81166.46823,59107.8575,90
2024-05-02,58364.97,59625.0,56911.84,59060.61,47583.81961,58490.604999999996,90
2024-05-03,59060.6,63333.0,58811.32,62882.01,43628.40143,61021.732500000006,90
2024-05-04,62882.01,64540.0,62541.03,63892.04,24368.69282,63463.770000000004,90
2024-05-05,63892.03,64646.0,62822.17,64012.0,18526.75029,63843.05,90
2024-05-06,64012.0,65500.0,62700.0,63165.19,34674.91949,63844.2975,90
2024-05-07,63165.18,64422.41,62261.0,62312.08,25598.79472,63040.167499999996,90
2024-05-08,62312.07,63020.22,60888.0,61193.03,26121.19004,61853.33,90
2024-05-09,61193.03,63429.03,60630.0,63074.01,30660.8061,62081.5175,90
2024-05-10,63074.0,63469.13,60187.12,60799.99,36529.34025,61882.56,90
2024-05-11,60799.99,61515.0,60487.09,60825.99,13374.56936,60907.017499999994,90
2024-05-12,60825.99,61888.0,60610.0,61483.99,12753.13236,61201.994999999995,90
2024-05-13,61484.0,63450.0,60749.21,62940.08,32733.41839,62155.822499999995,90
2024-05-14,62940.09,63118.36,61142.77,61577.49,29088.72041,62194.6775,90
2024-05-15,61577.49,66444.16,61319.47,66206.5,43559.74719,63886.905,90
2024-05-16,66206.51,66752.01,64602.77,65235.21,31106.3671,65699.125,90
2024-05-17,65235.21,67451.2,65106.38,67024.0,26292.23409,66204.19750000001,90
2024-05-18,67024.0,67400.01,66600.0,66915.2,14441.25774,66984.8025,90
2024-05-19,66915.2,67700.0,65857.25,66274.01,18025.30409,66686.615,90
2024-05-20,66274.0,71515.56,66060.31,71446.62,50816.7011,68824.1225,90
2024-05-21,71446.62,71979.0,69162.94,70148.34,49607.4336,70684.225,90
2024-05-22,70148.34,70666.0,68842.19,69166.62,27673.18026,69705.7875,90
2024-05-23,69166.62,70096.12,66312.16,67969.65,40513.17374,68386.1375,90
2024-05-24,67969.66,69250.0,66600.12,68549.99,28095.83664,68092.4425,90
2024-05-25,68549.99,69610.0,68500.0,69290.57,12130.39418,68987.64,90
2024-05-26,69290.56,69562.23,68128.01,68507.67,11872.11797,68872.1175,90
2024-05-27,68507.67,70687.56,68250.0,69436.43,23136.92737,69220.415,90
2024-05-28,69436.43,69591.81,67277.91,68398.39,32622.97042,68676.135,90
2024-05-29,68398.4,68935.68,67124.65,67652.42,23159.83149,68027.78749999999,90
2024-05-30,67652.41,69500.0,67128.0,68352.17,28478.2184,68158.145,90
2024-05-31,68352.17,69044.1,66670.0,67540.01,26690.32184,67901.57,90
2024-06-01,67540.01,67900.0,67428.44,67766.85,8837.66133,67658.82500000001,90
2024-06-02,67766.84,68460.0,67257.47,67765.63,15426.32529,67812.485,90
2024-06-03,67765.62,70288.0,67612.48,68809.9,29633.374,68619.0,90
2024-06-04,68809.89,71063.45,68567.32,70537.84,29619.78489,69744.625,90
2024-06-05,70537.83,71758.0,70383.66,71108.0,28703.18082,70946.8725,90
2024-06-06,71108.0,71700.0,70117.64,70799.06,21842.00449,70931.175,90
2024-06-07,70799.06,71997.02,68420.0,69355.6,35598.45045,70142.92000000001,90
2024-06-08,69355.6,69582.2,69168.02,69310.46,9773.82967,69354.07,90
2024-06-09,69310.46,69857.14,69130.24,69648.14,9890.56709,69486.49500000001,90
2024-06-10,69648.15,70195.94,69172.29,69540.0,17122.66941,69639.095,90
2024-06-11,69540.0,69590.01,66051.0,67314.24,41436.01588,68123.8125,90
2024-06-12,67314.23,69999.0,66905.0,68263.99,37175.32356,68120.555,90
2024-06-13,68263.98,68449.3,66251.78,66773.01,29079.55571,67434.5175,90
2024-06-14,66773.01,67370.24,65078.0,66043.99,28408.18797,66316.31,90
2024-06-15,66043.99,66478.48,65857.1,66228.25,11451.80242,66151.955,90
2024-06-16,66228.25,66998.7,66034.5,66676.87,9392.52223,66484.58,90
2024-06-17,66676.86,67298.81,65130.0,66504.33,27386.16851,66402.5,90
2024-06-18,66504.33,66588.23,64060.0,65175.32,42350.10244,65581.97,90
2024-06-19,65175.32,65727.54,64666.0,64974.37,20060.79576,65135.807499999995,90
2024-06-20,64974.37,66482.94,64559.15,64869.99,24265.29031,65221.612499999996,90
2024-06-21,64869.99,65066.66,63379.35,64143.56,25993.56442,64364.89,90
2024-06-22,64143.56,64546.81,63943.82,64262.01,7308.95542,64224.05,90
2024-06-23,64262.01,64521.0,63178.32,63210.01,8224.45447,63792.83500000001,90
2024-06-24,63210.01,63369.8,58402.0,60293.3,52161.35414,61318.7775,90
2024-06-25,60293.3,62420.0,60257.06,61806.01,31189.24361,61194.0925,90
2024-06-26,61806.01,62487.81,60712.0,60864.99,22485.66463,61467.7025,90
2024-06-27,60864.98,62389.22,60606.63,61706.47,18344.28631,61391.825000000004,90
2024-06-28,61706.46,62225.31,60063.0,60427.84,24821.19255,61105.6525,90
2024-06-29,60427.84,61224.0,60383.77,60986.68,11509.55904,60755.572499999995,90
2024-06-30,60986.68,63058.76,60712.21,62772.01,17326.30136,61882.415,90
2024-07-01,62772.01,63861.76,62497.2,62899.99,24547.10538,63007.74,90
2024-07-02,62900.0,63288.83,61806.28,62135.47,18573.11875,62532.645,90
2024-07-03,62135.46,62285.94,59400.0,60208.58,32160.11127,61007.494999999995,90
2024-07-04,60208.57,60498.19,56771.0,57050.01,54568.77276,58631.942500000005,90
2024-07-05,57050.02,57546.0,53485.93,56628.79,81348.24756,56177.685,90
2024-07-06,56628.79,58475.0,56018.0,58230.13,21651.31558,57337.98,90
2024-07-07,58230.13,58449.46,55724.37,55857.81,19118.93918,57065.4425,90
2024-07-08,55857.81,58236.73,54260.16,56714.62,48090.2049,56267.33,90
2024-07-09,56714.61,58296.0,56289.45,58050.0,27732.20788,57337.515,90
2024-07-10,58050.0,59470.0,57157.79,57725.85,24951.73799,58100.91,90
2024-07-11,57725.85,59650.0,57050.0,57339.89,29761.05735,57941.435,90
2024-07-12,57339.89,58526.68,56542.47,57889.1,23652.4569,57574.535,90
2024-07-13,57889.09,59850.0,57756.63,59204.02,15357.74519,58674.935,90
2024-07-14,59204.01,61420.69,59194.01,60797.91,21178.33907,60154.155000000006,90
2024-07-15,60797.91,64900.0,60632.3,64724.14,38690.9782,62763.58750000001,90
2024-07-16,64724.06,65388.97,62373.24,65043.99,42530.52915,64382.564999999995,90
2024-07-17,65044.0,66128.63,63854.0,64087.99,29567.52954,64778.655,90
2024-07-18,64087.99,65133.3,63238.48,63987.92,22568.7225,64111.9225,90
2024-07-19,63987.92,67386.0,63300.67,66660.0,35634.72739,65333.64749999999,90
