date,open,high,low,close,volume,average,barCount
2024-04-29,0.894,0.905,0.858,0.897,4240057.53,0.8885000000000001,90
2024-04-30,0.896,0.91,0.812,0.841,7092794.12,0.8647500000000001,90
2024-05-01,0.84,0.859,0.79,0.853,8615307.43,0.8354999999999999,90
2024-05-02,0.853,0.884,0.825,0.873,3706957.56,0.8587500000000001,90
2024-05-03,0.873,0.918,0.852,0.91,3456408.2,0.88825,90
2024-05-04,0.91,0.92,0.896,0.909,2551211.2,0.90875,90
2024-05-05,0.908,0.925,0.893,0.914,2210790.11,0.91,90
2024-05-06,0.913,0.943,0.888,0.889,4479777.13,0.90825,90
2024-05-07,0.889,0.911,0.871,0.876,3848780.96,0.88675,90
2024-05-08,0.875,0.917,0.861,0.874,6291292.72,0.88175,90
2024-05-09,0.873,0.917,0.864,0.909,4148116.73,0.8907499999999999,90
2024-05-10,0.91,0.927,0.855,0.861,4740647.63,0.88825,90
2024-05-11,0.861,0.873,0.842,0.844,2156588.55,0.855,90
2024-05-12,0.844,0.853,0.827,0.834,1857430.53,0.8395,90
2024-05-13,0.835,0.868,0.804,0.849,4241785.88,0.839,90
2024-05-14,0.848,0.855,0.81,0.813,3790044.52,0.8314999999999999,90
2024-05-15,0.814,0.876,0.808,0.868,3862600.35,0.8415,90
2024-05-16,0.868,0.89,0.853,0.871,3112947.26,0.8704999999999999,90
2024-05-17,0.871,0.91,0.867,0.899,2723987.16,0.88675,90
2024-05-18,0.898,0.909,0.887,0.908,2079128.89,0.9005,90
2024-05-19,0.908,0.913,0.86,0.868,2261890.18,0.88725,90
2024-05-20,0.867,0.959,0.855,0.954,5067641.82,0.90875,90
2024-05-21,0.955,0.975,0.939,0.965,4340859.74,0.9584999999999999,90
2024-05-22,0.965,0.967,0.933,0.94,4425498.44,0.95125,90
2024-05-23,0.941,0.954,0.873,0.925,5514267.93,0.9232499999999999,90
2024-05-24,0.924,0.944,0.899,0.94,3249932.55,0.92675,90
2024-05-25,0.94,0.961,0.934,0.949,2252368.08,0.946,90
2024-05-26,0.948,0.962,0.91,0.92,2099545.79,0.9349999999999999,90
2024-05-27,0.92,0.973,0.915,0.961,3267052.14,0.9422499999999999,90
2024-05-28,0.962,0.968,0.92,0.935,4120765.68,0.94625,90
2024-05-29,0.936,0.954,0.903,0.908,3981464.28,0.92525,90
2024-05-30,0.909,0.924,0.875,0.887,4337060.85,0.89875,90
2024-05-31,0.887,0.893,0.86,0.873,3560853.79,0.87825,90
2024-06-01,0.873,0.9,0.867,0.893,1792304.03,0.8832500000000001,90
2024-06-02,0.893,0.902,0.871,0.877,2537253.92,0.88575,90
2024-06-03,0.877,0.909,0.866,0.877,4529745.66,0.88225,90
2024-06-04,0.877,0.916,0.861,0.913,2888992.8,0.89175,90
2024-06-05,0.914,0.943,0.914,0.936,2524054.39,0.92675,90
2024-06-06,0.936,0.936,0.903,0.919,2251499.65,0.9235000000000001,90
2024-06-07,0.918,0.941,0.777,0.852,7058779.14,0.872,90
2024-06-08,0.852,0.858,0.789,0.802,4484279.86,0.82525,90
2024-06-09,0.801,0.808,0.79,0.804,3127942.64,0.8007500000000001,90
2024-06-10,0.804,0.813,0.779,0.785,3437246.85,0.79525,90
2024-06-11,0.784,0.791,0.737,0.748,4981416.83,0.7650000000000001,90
2024-06-12,0.749,0.794,0.73,0.779,4449235.96,0.763,90
2024-06-13,0.779,0.783,0.726,0.731,4590887.18,0.75475,90
2024-06-14,0.732,0.749,0.693,0.704,5990628.37,0.7195,90
2024-06-15,0.704,0.732,0.702,0.713,2983049.36,0.71275,90
2024-06-16,0.713,0.731,0.702,0.721,2757303.49,0.71675,90
2024-06-17,0.72,0.726,0.639,0.658,6976397.26,0.68575,90
2024-06-18,0.658,0.661,0.56,0.599,12026100.83,0.6194999999999999,90
2024-06-19,0.598,0.631,0.589,0.624,5467053.43,0.6105,90
2024-06-20,0.624,0.667,0.622,0.634,5909590.16,0.6367499999999999,90
2024-06-21,0.634,0.65,0.622,0.63,4157337.29,0.634,90
2024-06-22,0.63,0.634,0.621,0.623,1699314.48,0.627,90
2024-06-23,0.624,0.639,0.611,0.616,2130868.91,0.6224999999999999,90
2024-06-24,0.616,0.627,0.587,0.623,5139787.63,0.61325,90
2024-06-25,0.623,0.646,0.617,0.64,2324544.39,0.6315000000000001,90
2024-06-26,0.641,0.648,0.611,0.615,2570606.73,0.62875,90
2024-06-27,0.616,0.634,0.601,0.625,3229786.77,0.619,90
2024-06-28,0.625,0.649,0.612,0.613,3744636.79,0.62475,90
2024-06-29,0.613,0.633,0.6,0.606,2823287.25,0.613,90
2024-06-30,0.605,0.634,0.598,0.632,2622965.78,0.61725,90
2024-07-01,0.632,0.645,0.616,0.619,3083866.12,0.6280000000000001,90
2024-07-02,0.619,0.63,0.612,0.624,2061961.71,0.6212500000000001,90
2024-07-03,0.625,0.63,0.591,0.6,3583898.48,0.6114999999999999,90
2024-07-04,0.6,0.604,0.53,0.535,5335194.37,0.56725,90
